Type,mean,count,std,confidence
all,0.55,20,0.5104177855340404,0.22370045761428853
all_split,0.6,20,0.5026246899500346,0.2202849828840144
class_names,0.35,20,0.48936048492959283,0.21447168872174685
class_names_split,0.6,20,0.5026246899500346,0.2202849828840144
global_variables,0.4,20,0.5026246899500346,0.2202849828840144
global_variables_split,0.5,20,0.512989176042577,0.2248274191931505
local_variables,0.35,20,0.4893604849295929,0.21447168872174688
local_variables_split,0.45,20,0.5104177855340404,0.22370045761428853
method_names,0.35,20,0.4893604849295929,0.21447168872174688
method_names_split,0.45,20,0.5104177855340405,0.22370045761428858
parameters,0.4,20,0.5026246899500346,0.2202849828840144
parameters_split,0.4,20,0.5026246899500346,0.2202849828840144
