Query,Result,Type,Score,Topic match,Score eval
bakdata - quick - rest-api,americanexpress - synapse - rest-api,all,3,1,1
bakdata - quick - rest-api,awslabs - aws-serverless-java-container - rest-api,parameters,2,1,0
bakdata - quick - rest-api,confluentinc - kafka-rest - rest-api,method_names,2,1,0
bakdata - quick - rest-api,endava - cats - rest-api,local_variables,2,1,0
bakdata - quick - rest-api,jonathanmdr - dynamicdatasourcerouting - rest-api,local_variables_split,2,1,0
bakdata - quick - rest-api,redskap - swagger-brake - rest-api,all_split,2,1,0
bakdata - quick - rest-api,rest-assured - rest-assured - rest-api,class_names_split,3,1,1
bakdata - quick - rest-api,ryansusana - elepy - rest-api,parameters_split,1,1,0
bakdata - quick - rest-api,stevespringett - alpine - rest-api,global_variables_split,3,1,1
bakdata - quick - rest-api,swagger-api - swagger-parser - rest-api,class_names,2,1,0
bakdata - quick - rest-api,taz03 - jia - rest-api,global_variables,3,1,1
bakdata - quick - rest-api,zowe - api-layer - rest-api,method_names_split,3,1,1
bezkoder - docker-compose-spring-boot-mysql - rest-api,bezkoder - spring-boot-data-jpa-mysql - rest-api,global_variables_split,4,1,1
bezkoder - docker-compose-spring-boot-mysql - rest-api,bezkoder - spring-boot-data-jpa-mysql - rest-api,method_names_split,4,1,1
bezkoder - docker-compose-spring-boot-mysql - rest-api,bezkoder - spring-boot-jpa-postgresql - rest-api,all_split,4,1,1
bezkoder - docker-compose-spring-boot-mysql - rest-api,bezkoder - spring-boot-jpa-postgresql - rest-api,class_names_split,4,1,1
bezkoder - docker-compose-spring-boot-mysql - rest-api,bezkoder - spring-boot-jpa-postgresql - rest-api,local_variables,4,1,1
bezkoder - docker-compose-spring-boot-mysql - rest-api,bezkoder - spring-boot-unit-test-rest-controller - rest-api,all,3,1,1
bezkoder - docker-compose-spring-boot-mysql - rest-api,bezkoder - spring-boot-unit-test-rest-controller - rest-api,class_names,3,1,1
bezkoder - docker-compose-spring-boot-mysql - rest-api,bezkoder - spring-boot-unit-test-rest-controller - rest-api,local_variables_split,3,1,1
bezkoder - docker-compose-spring-boot-mysql - rest-api,bezkoder - spring-boot-unit-test-rest-controller - rest-api,method_names,3,1,1
bezkoder - docker-compose-spring-boot-mysql - rest-api,bezkoder - spring-boot-unit-test-rest-controller - rest-api,parameters,3,1,1
bezkoder - docker-compose-spring-boot-mysql - rest-api,bezkoder - spring-boot-unit-test-rest-controller - rest-api,parameters_split,3,1,1
bezkoder - docker-compose-spring-boot-mysql - rest-api,hirannor - spring-boot-hexagonal-architecture - rest-api,global_variables,2,1,0
derfrzocker - custom-ore-generator - minecraft-plugin,4drian3d - kickredirect - minecraft-plugin,class_names_split,2,1,0
derfrzocker - custom-ore-generator - minecraft-plugin,arthed-studios - custombiomecolors - minecraft-plugin,local_variables_split,3,1,1
derfrzocker - custom-ore-generator - minecraft-plugin,bluemap-minecraft - bluemap - minecraft-plugin,parameters_split,2,1,0
derfrzocker - custom-ore-generator - minecraft-plugin,dukke - fxskins - javafx,class_names,1,0,0
derfrzocker - custom-ore-generator - minecraft-plugin,eldoriarpg - schematicbrushreborn - minecraft-plugin,global_variables,3,1,1
derfrzocker - custom-ore-generator - minecraft-plugin,eternalcodeteam - eternalcore - minecraft-plugin,global_variables_split,2,1,0
derfrzocker - custom-ore-generator - minecraft-plugin,jpenilla - chesscraft - minecraft-plugin,method_names,2,1,0
derfrzocker - custom-ore-generator - minecraft-plugin,minecraftmedialibrary - ezmediacore - minecraft-plugin,parameters,2,1,0
derfrzocker - custom-ore-generator - minecraft-plugin,mohistmc - banner - minecraft-plugin,all,2,1,0
derfrzocker - custom-ore-generator - minecraft-plugin,stellarica - stellarica - minecraft-plugin,all_split,1,1,0
derfrzocker - custom-ore-generator - minecraft-plugin,updated-nocheatplus - nocheatplus - minecraft-plugin,local_variables,2,1,0
derfrzocker - custom-ore-generator - minecraft-plugin,weaponmechanics - mechanicsmain - minecraft-plugin,method_names_split,2,1,0
eclipse-xpanse - xpanse - rest-api,confluentinc - kafka-rest - rest-api,parameters,2,1,0
eclipse-xpanse - xpanse - rest-api,confluentinc - kafka-rest - rest-api,parameters_split,2,1,0
eclipse-xpanse - xpanse - rest-api,discord4j - discord4j - rest-api,all,2,1,0
eclipse-xpanse - xpanse - rest-api,dlsc-software-consulting-gmbh - jfxcentral-data - javafx,method_names_split,1,0,0
eclipse-xpanse - xpanse - rest-api,dspace - dspace - rest-api,class_names_split,1,1,0
eclipse-xpanse - xpanse - rest-api,exadel-inc - compreface - rest-api,all_split,1,1,0
eclipse-xpanse - xpanse - rest-api,gazbert - bxbot - rest-api,local_variables,1,1,0
eclipse-xpanse - xpanse - rest-api,kangarko - foundation - minecraft-plugin,global_variables,1,0,0
eclipse-xpanse - xpanse - rest-api,miltonhit - hub_correios_api - rest-api,method_names,1,1,0
eclipse-xpanse - xpanse - rest-api,stevespringett - alpine - rest-api,class_names,2,1,0
eclipse-xpanse - xpanse - rest-api,technolords - microservice-mock - rest-api,local_variables_split,1,1,0
eclipse-xpanse - xpanse - rest-api,zowe - api-layer - rest-api,global_variables_split,3,1,1
filestack - filestack-android - android,awslabs - aws-sdk-android-samples - android,class_names,3,1,1
filestack - filestack-android - android,butzist - activitylauncher - android,class_names_split,2,1,0
filestack - filestack-android - android,butzist - activitylauncher - android,global_variables_split,2,1,0
filestack - filestack-android - android,butzist - activitylauncher - android,local_variables,2,1,0
filestack - filestack-android - android,codinguser - gnucash-android - android,parameters,2,1,0
filestack - filestack-android - android,gentlecat - counter - android,method_names_split,2,1,0
filestack - filestack-android - android,jcarolus - android-chess - android,all,1,1,0
filestack - filestack-android - android,jimseker - ui - android,local_variables_split,2,1,0
filestack - filestack-android - android,mathisdt - trackworktime - android,all_split,2,1,0
filestack - filestack-android - android,opentok - opentok-android-sdk-samples - android,method_names,2,1,0
filestack - filestack-android - android,robolectric - robolectric - android,global_variables,1,1,0
filestack - filestack-android - android,sreichholf - dreamdroid - android,parameters_split,2,1,0
fxmisc - flowless - javafx,eckig - graph-editor - javafx,parameters,3,1,1
fxmisc - flowless - javafx,fxmisc - richtextfx - javafx,class_names_split,3,1,1
fxmisc - flowless - javafx,gluonhq - maps - javafx,all_split,3,1,1
